n-2,n-1,n,n+1,n+2
27.688,27.859,27.685,26.44,26.678
28.085,27.688,27.859,27.685,26.44
27.254,28.085,27.688,27.859,27.685
27.078,27.254,28.085,27.688,27.859
27.315,27.078,27.254,28.085,27.688
27.325,27.315,27.078,27.254,28.085
27.328,27.325,27.315,27.078,27.254
27.047,27.328,27.325,27.315,27.078
27.078,27.047,27.328,27.325,27.315
27.402,27.078,27.047,27.328,27.325
27.576,27.402,27.078,27.047,27.328
27.019,27.576,27.402,27.078,27.047
26.234,27.019,27.576,27.402,27.078
26.889,26.234,27.019,27.576,27.402
26.402,26.889,26.234,27.019,27.576
29.418,26.402,26.889,26.234,27.019
26.914,29.418,26.402,26.889,26.234
25.922,26.914,29.418,26.402,26.889
25.389,25.922,26.914,29.418,26.402
25.538,25.389,25.922,26.914,29.418
25.484,25.538,25.389,25.922,26.914
25.556,25.484,25.538,25.389,25.922
25.854,25.556,25.484,25.538,25.389
25.766,25.854,25.556,25.484,25.538
25.32,25.766,25.854,25.556,25.484
24.866,25.32,25.766,25.854,25.556
25.802,24.866,25.32,25.766,25.854
25.572,25.802,24.866,25.32,25.766
25.435,25.572,25.802,24.866,25.32
25.284,25.435,25.572,25.802,24.866
24.637,25.284,25.435,25.572,25.802
27.261,24.637,25.284,25.435,25.572
27.042,27.261,24.637,25.284,25.435
27.64,27.042,27.261,24.637,25.284
27.364,27.64,27.042,27.261,24.637
26.412,27.364,27.64,27.042,27.261
26.573,26.412,27.364,27.64,27.042
26.217,26.573,26.412,27.364,27.64
26.539,26.217,26.573,26.412,27.364
25.908,26.539,26.217,26.573,26.412
25.921,25.908,26.539,26.217,26.573
25.535,25.921,25.908,26.539,26.217
26.379,25.535,25.921,25.908,26.539
26.033,26.379,25.535,25.921,25.908
26.181,26.033,26.379,25.535,25.921
25.052,26.181,26.033,26.379,25.535
24.644,25.052,26.181,26.033,26.379
24.047,24.644,25.052,26.181,26.033
24.092,24.047,24.644,25.052,26.181
24.094,24.092,24.047,24.644,25.052
23.99,24.094,24.092,24.047,24.644
24.736,23.99,24.094,24.092,24.047
24.794,24.736,23.99,24.094,24.092
24.253,24.794,24.736,23.99,24.094
24.137,24.253,24.794,24.736,23.99
24.08,24.137,24.253,24.794,24.736
24.09,24.08,24.137,24.253,24.794
22.593,24.09,24.08,24.137,24.253
22.639,22.593,24.09,24.08,24.137
23.362,22.639,22.593,24.09,24.08
23.3,23.362,22.639,22.593,24.09
23.633,23.3,23.362,22.639,22.593
24.363,23.633,23.3,23.362,22.639
24.048,24.363,23.633,23.3,23.362
24.448,24.048,24.363,23.633,23.3
24.651,24.448,24.048,24.363,23.633
24.802,24.651,24.448,24.048,24.363
24.775,24.802,24.651,24.448,24.048
24.306,24.775,24.802,24.651,24.448
24.267,24.306,24.775,24.802,24.651
24.462,24.267,24.306,24.775,24.802
23.701,24.462,24.267,24.306,24.775
25.662,23.701,24.462,24.267,24.306
25.191,25.662,23.701,24.462,24.267
23.893,25.191,25.662,23.701,24.462
24.334,23.893,25.191,25.662,23.701
24.033,24.334,23.893,25.191,25.662
23.646,24.033,24.334,23.893,25.191
23.36,23.646,24.033,24.334,23.893
23.359,23.36,23.646,24.033,24.334
24.57,23.359,23.36,23.646,24.033
24.42,24.57,23.359,23.36,23.646
24.675,24.42,24.57,23.359,23.36
24.709,24.675,24.42,24.57,23.359
25.241,24.709,24.675,24.42,24.57
24.98,25.241,24.709,24.675,24.42
24.698,24.98,25.241,24.709,24.675
24.405,24.698,24.98,25.241,24.709
24.224,24.405,24.698,24.98,25.241
24.395,24.224,24.405,24.698,24.98
24.129,24.395,24.224,24.405,24.698
25.271,24.129,24.395,24.224,24.405
25.108,25.271,24.129,24.395,24.224
23.876,25.108,25.271,24.129,24.395
23.896,23.876,25.108,25.271,24.129
23.921,23.896,23.876,25.108,25.271
24.56,23.921,23.896,23.876,25.108
24.029,24.56,23.921,23.896,23.876
24.254,24.029,24.56,23.921,23.896
23.494,24.254,24.029,24.56,23.921
24.445,23.494,24.254,24.029,24.56
23.604,24.445,23.494,24.254,24.029
23.093,23.604,24.445,23.494,24.254
23.196,23.093,23.604,24.445,23.494
23.105,23.196,23.093,23.604,24.445
24.523,23.105,23.196,23.093,23.604
24.387,24.523,23.105,23.196,23.093
27.129,24.387,24.523,23.105,23.196
27.1,27.129,24.387,24.523,23.105
27.476,27.1,27.129,24.387,24.523
27.464,27.476,27.1,27.129,24.387
27.355,27.464,27.476,27.1,27.129
26.857,27.355,27.464,27.476,27.1
27.291,26.857,27.355,27.464,27.476
27.083,27.291,26.857,27.355,27.464
26.991,27.083,27.291,26.857,27.355
26.712,26.991,27.083,27.291,26.857
26.875,26.712,26.991,27.083,27.291
27.395,26.875,26.712,26.991,27.083
28.645,27.395,26.875,26.712,26.991
28.594,28.645,27.395,26.875,26.712
27.79,28.594,28.645,27.395,26.875
27.025,27.79,28.594,28.645,27.395
27.449,27.025,27.79,28.594,28.645
26.273,27.449,27.025,27.79,28.594
26.607,26.273,27.449,27.025,27.79
26.732,26.607,26.273,27.449,27.025
27.147,26.732,26.607,26.273,27.449
27.34,27.147,26.732,26.607,26.273
28.075,27.34,27.147,26.732,26.607
27.667,28.075,27.34,27.147,26.732
26.089,27.667,28.075,27.34,27.147
27.718,26.089,27.667,28.075,27.34
25.979,27.718,26.089,27.667,28.075
26.049,25.979,27.718,26.089,27.667
29.261,26.049,25.979,27.718,26.089
27.54,29.261,26.049,25.979,27.718
28.4,27.54,29.261,26.049,25.979
26.89,28.4,27.54,29.261,26.049
26.028,26.89,28.4,27.54,29.261
24.417,26.028,26.89,28.4,27.54
24.216,24.417,26.028,26.89,28.4
23.362,24.216,24.417,26.028,26.89
24.321,23.362,24.216,24.417,26.028
24.3,24.321,23.362,24.216,24.417
24.501,24.3,24.321,23.362,24.216
22.85,24.501,24.3,24.321,23.362
22.988,22.85,24.501,24.3,24.321
23.144,22.988,22.85,24.501,24.3
21.557,23.144,22.988,22.85,24.501
20.192,21.557,23.144,22.988,22.85
19.764,20.192,21.557,23.144,22.988
19.573,19.764,20.192,21.557,23.144
19.761,19.573,19.764,20.192,21.557
19.53,19.761,19.573,19.764,20.192
19.788,19.53,19.761,19.573,19.764
19.053,19.788,19.53,19.761,19.573
18.962,19.053,19.788,19.53,19.761
19.161,18.962,19.053,19.788,19.53
18.699,19.161,18.962,19.053,19.788
18.582,18.699,19.161,18.962,19.053
18.322,18.582,18.699,19.161,18.962
18.218,18.322,18.582,18.699,19.161
18.637,18.218,18.322,18.582,18.699
18.064,18.637,18.218,18.322,18.582
18.168,18.064,18.637,18.218,18.322
17.895,18.168,18.064,18.637,18.218
17.67,17.895,18.168,18.064,18.637
18.063,17.67,17.895,18.168,18.064
17.902,18.063,17.67,17.895,18.168
17.847,17.902,18.063,17.67,17.895
17.508,17.847,17.902,18.063,17.67
17.775,17.508,17.847,17.902,18.063
17.652,17.775,17.508,17.847,17.902
17.399,17.652,17.775,17.508,17.847
17.482,17.399,17.652,17.775,17.508
17.889,17.482,17.399,17.652,17.775
17.796,17.889,17.482,17.399,17.652
17.794,17.796,17.889,17.482,17.399
17.893,17.794,17.796,17.889,17.482
17.479,17.893,17.794,17.796,17.889
18.061,17.479,17.893,17.794,17.796
17.958,18.061,17.479,17.893,17.794
18.26,17.958,18.061,17.479,17.893
18.827,18.26,17.958,18.061,17.479
18.499,18.827,18.26,17.958,18.061
17.967,18.499,18.827,18.26,17.958
17.757,17.967,18.499,18.827,18.26
17.595,17.757,17.967,18.499,18.827
17.693,17.595,17.757,17.967,18.499
17.364,17.693,17.595,17.757,17.967
18.031,17.364,17.693,17.595,17.757
17.901,18.031,17.364,17.693,17.595
17.468,17.901,18.031,17.364,17.693
17.07,17.468,17.901,18.031,17.364
16.156,17.07,17.468,17.901,18.031
15.671,16.156,17.07,17.468,17.901
15.709,15.671,16.156,17.07,17.468
15.68,15.709,15.671,16.156,17.07
15.778,15.68,15.709,15.671,16.156
15.59,15.778,15.68,15.709,15.671
15.015,15.59,15.778,15.68,15.709
15.11,15.015,15.59,15.778,15.68
14.796,15.11,15.015,15.59,15.778
14.938,14.796,15.11,15.015,15.59
14.973,14.938,14.796,15.11,15.015
15.315,14.973,14.938,14.796,15.11
15.171,15.315,14.973,14.938,14.796
15.21,15.171,15.315,14.973,14.938
15.263,15.21,15.171,15.315,14.973
15.357,15.263,15.21,15.171,15.315
15.335,15.357,15.263,15.21,15.171
14.876,15.335,15.357,15.263,15.21
15.614,14.876,15.335,15.357,15.263
15.295,15.614,14.876,15.335,15.357
15.622,15.295,15.614,14.876,15.335
15.505,15.622,15.295,15.614,14.876
16.13,15.505,15.622,15.295,15.614
15.537,16.13,15.505,15.622,15.295
16.053,15.537,16.13,15.505,15.622
15.205,16.053,15.537,16.13,15.505
15.48,15.205,16.053,15.537,16.13
15.169,15.48,15.205,16.053,15.537
14.494,15.169,15.48,15.205,16.053
14.654,14.494,15.169,15.48,15.205
13.984,14.654,14.494,15.169,15.48
14.156,13.984,14.654,14.494,15.169
14.132,14.156,13.984,14.654,14.494
14.534,14.132,14.156,13.984,14.654
14.676,14.534,14.132,14.156,13.984
14.873,14.676,14.534,14.132,14.156
14.257,14.873,14.676,14.534,14.132
13.261,14.257,14.873,14.676,14.534
12.385,13.261,14.257,14.873,14.676
12.134,12.385,13.261,14.257,14.873
11.772,12.134,12.385,13.261,14.257
12.495,11.772,12.134,12.385,13.261
12.816,12.495,11.772,12.134,12.385
14.5,12.816,12.495,11.772,12.134
16.005,14.5,12.816,12.495,11.772
16.776,16.005,14.5,12.816,12.495
16.955,16.776,16.005,14.5,12.816
17.054,16.955,16.776,16.005,14.5
17.263,17.054,16.955,16.776,16.005
17.393,17.263,17.054,16.955,16.776
17.246,17.393,17.263,17.054,16.955
17.188,17.246,17.393,17.263,17.054
16.739,17.188,17.246,17.393,17.263
16.457,16.739,17.188,17.246,17.393
17.735,16.457,16.739,17.188,17.246
17.834,17.735,16.457,16.739,17.188
18.191,17.834,17.735,16.457,16.739
18.876,18.191,17.834,17.735,16.457
18.53,18.876,18.191,17.834,17.735
18.319,18.53,18.876,18.191,17.834
18.311,18.319,18.53,18.876,18.191
18.192,18.311,18.319,18.53,18.876
18.15,18.192,18.311,18.319,18.53
17.734,18.15,18.192,18.311,18.319
17.619,17.734,18.15,18.192,18.311
17.497,17.619,17.734,18.15,18.192
17.597,17.497,17.619,17.734,18.15
17.785,17.597,17.497,17.619,17.734
17.692,17.785,17.597,17.497,17.619
17.818,17.692,17.785,17.597,17.497
17.602,17.818,17.692,17.785,17.597
17.561,17.602,17.818,17.692,17.785
17.67,17.561,17.602,17.818,17.692
18.012,17.67,17.561,17.602,17.818
17.992,18.012,17.67,17.561,17.602
17.487,17.992,18.012,17.67,17.561
17.458,17.487,17.992,18.012,17.67
18.056,17.458,17.487,17.992,18.012
18.113,18.056,17.458,17.487,17.992
17.829,18.113,18.056,17.458,17.487
17.828,17.829,18.113,18.056,17.458
17.808,17.828,17.829,18.113,18.056
17.808,17.808,17.828,17.829,18.113
18.073,17.808,17.808,17.828,17.829
17.939,18.073,17.808,17.808,17.828
17.988,17.939,18.073,17.808,17.808
17.742,17.988,17.939,18.073,17.808
17.996,17.742,17.988,17.939,18.073
18.105,17.996,17.742,17.988,17.939
17.936,18.105,17.996,17.742,17.988
18.167,17.936,18.105,17.996,17.742
18.393,18.167,17.936,18.105,17.996
18.179,18.393,18.167,17.936,18.105
18.151,18.179,18.393,18.167,17.936
18.046,18.151,18.179,18.393,18.167
17.921,18.046,18.151,18.179,18.393
18.001,17.921,18.046,18.151,18.179
17.943,18.001,17.921,18.046,18.151
17.99,17.943,18.001,17.921,18.046
17.853,17.99,17.943,18.001,17.921
17.499,17.853,17.99,17.943,18.001
17.224,17.499,17.853,17.99,17.943
17.154,17.224,17.499,17.853,17.99
17.049,17.154,17.224,17.499,17.853
17.072,17.049,17.154,17.224,17.499
17.113,17.072,17.049,17.154,17.224
17.012,17.113,17.072,17.049,17.154
16.949,17.012,17.113,17.072,17.049
16.849,16.949,17.012,17.113,17.072
16.702,16.849,16.949,17.012,17.113
16.642,16.702,16.849,16.949,17.012
16.596,16.642,16.702,16.849,16.949
17.059,16.596,16.642,16.702,16.849
16.916,17.059,16.596,16.642,16.702
17.248,16.916,17.059,16.596,16.642
16.966,17.248,16.916,17.059,16.596
17.06,16.966,17.248,16.916,17.059
17.106,17.06,16.966,17.248,16.916
16.912,17.106,17.06,16.966,17.248
17.045,16.912,17.106,17.06,16.966
16.886,17.045,16.912,17.106,17.06
17,16.886,17.045,16.912,17.106
17.065,17,16.886,17.045,16.912
17.115,17.065,17,16.886,17.045
17.118,17.115,17.065,17,16.886
17,17.118,17.115,17.065,17
16.948,17,17.118,17.115,17.065
17.028,16.948,17,17.118,17.115
16.913,17.028,16.948,17,17.118
16.692,16.913,17.028,16.948,17
16.802,16.692,16.913,17.028,16.948
16.823,16.802,16.692,16.913,17.028
17.01,16.823,16.802,16.692,16.913
17.598,17.01,16.823,16.802,16.692
17.568,17.598,17.01,16.823,16.802
18.066,17.568,17.598,17.01,16.823
18.052,18.066,17.568,17.598,17.01
18.067,18.052,18.066,17.568,17.598
17.867,18.067,18.052,18.066,17.568
17.831,17.867,18.067,18.052,18.066
17.876,17.831,17.867,18.067,18.052
17.926,17.876,17.831,17.867,18.067
17.804,17.926,17.876,17.831,17.867
17.58,17.804,17.926,17.876,17.831
17.5,17.58,17.804,17.926,17.876
17.602,17.5,17.58,17.804,17.926
17.578,17.602,17.5,17.58,17.804
17.612,17.578,17.602,17.5,17.58
17.427,17.612,17.578,17.602,17.5
17.384,17.427,17.612,17.578,17.602
17.71,17.384,17.427,17.612,17.578
17.544,17.71,17.384,17.427,17.612
17.602,17.544,17.71,17.384,17.427
17.81,17.602,17.544,17.71,17.384
17.7,17.81,17.602,17.544,17.71
17.54,17.7,17.81,17.602,17.544
17.625,17.54,17.7,17.81,17.602
17.676,17.625,17.54,17.7,17.81
17.683,17.676,17.625,17.54,17.7
17.302,17.683,17.676,17.625,17.54
16.998,17.302,17.683,17.676,17.625
17.652,16.998,17.302,17.683,17.676
17.912,17.652,16.998,17.302,17.683
18.073,17.912,17.652,16.998,17.302
18.628,18.073,17.912,17.652,16.998
18.711,18.628,18.073,17.912,17.652
17.849,18.711,18.628,18.073,17.912
17.884,17.849,18.711,18.628,18.073
17.919,17.884,17.849,18.711,18.628
18.14,17.919,17.884,17.849,18.711
18.026,18.14,17.919,17.884,17.849
17.569,18.026,18.14,17.919,17.884
18.177,17.569,18.026,18.14,17.919
18.17,18.177,17.569,18.026,18.14
18.186,18.17,18.177,17.569,18.026
18.167,18.186,18.17,18.177,17.569
18.119,18.167,18.186,18.17,18.177
18.807,18.119,18.167,18.186,18.17
19.547,18.807,18.119,18.167,18.186
19.186,19.547,18.807,18.119,18.167
19.237,19.186,19.547,18.807,18.119
18.342,19.237,19.186,19.547,18.807
18.323,18.342,19.237,19.186,19.547
18.318,18.323,18.342,19.237,19.186
18.153,18.318,18.323,18.342,19.237
17.641,18.153,18.318,18.323,18.342
17.413,17.641,18.153,18.318,18.323
17.04,17.413,17.641,18.153,18.318
17.151,17.04,17.413,17.641,18.153
17.148,17.151,17.04,17.413,17.641
16.94,17.148,17.151,17.04,17.413
17.122,16.94,17.148,17.151,17.04
17.214,17.122,16.94,17.148,17.151
17.28,17.214,17.122,16.94,17.148
16.985,17.28,17.214,17.122,16.94
17.071,16.985,17.28,17.214,17.122
16.931,17.071,16.985,17.28,17.214
16.936,16.931,17.071,16.985,17.28
17.196,16.936,16.931,17.071,16.985
16.445,17.196,16.936,16.931,17.071
16.393,16.445,17.196,16.936,16.931
16.27,16.393,16.445,17.196,16.936
16.18,16.27,16.393,16.445,17.196
16.405,16.18,16.27,16.393,16.445
16.558,16.405,16.18,16.27,16.393
16.44,16.558,16.405,16.18,16.27
16.397,16.44,16.558,16.405,16.18
16.411,16.397,16.44,16.558,16.405
16.626,16.411,16.397,16.44,16.558
16.476,16.626,16.411,16.397,16.44
16.411,16.476,16.626,16.411,16.397
16.195,16.411,16.476,16.626,16.411
16.198,16.195,16.411,16.476,16.626
15.971,16.198,16.195,16.411,16.476
15.678,15.971,16.198,16.195,16.411
15.365,15.678,15.971,16.198,16.195
15.236,15.365,15.678,15.971,16.198
15.146,15.236,15.365,15.678,15.971
15.226,15.146,15.236,15.365,15.678
15.147,15.226,15.146,15.236,15.365
15.05,15.147,15.226,15.146,15.236
15.001,15.05,15.147,15.226,15.146
15.001,15.001,15.05,15.147,15.226
15.336,15.001,15.001,15.05,15.147
15.238,15.336,15.001,15.001,15.05
15.193,15.238,15.336,15.001,15.001
15.341,15.193,15.238,15.336,15.001
15.294,15.341,15.193,15.238,15.336
15.294,15.294,15.341,15.193,15.238
15.3,15.294,15.294,15.341,15.193
15.377,15.3,15.294,15.294,15.341
15.29,15.377,15.3,15.294,15.294
15.492,15.29,15.377,15.3,15.294
14.958,15.492,15.29,15.377,15.3
14.993,14.958,15.492,15.29,15.377
14.829,14.993,14.958,15.492,15.29
14.803,14.829,14.993,14.958,15.492
14.892,14.803,14.829,14.993,14.958
14.753,14.892,14.803,14.829,14.993
14.74,14.753,14.892,14.803,14.829
14.639,14.74,14.753,14.892,14.803
15.031,14.639,14.74,14.753,14.892
14.905,15.031,14.639,14.74,14.753
14.791,14.905,15.031,14.639,14.74
14.769,14.791,14.905,15.031,14.639
14.74,14.769,14.791,14.905,15.031
14.567,14.74,14.769,14.791,14.905
14.491,14.567,14.74,14.769,14.791
14.411,14.491,14.567,14.74,14.769
14.32,14.411,14.491,14.567,14.74
14.32,14.32,14.411,14.491,14.567
14.555,14.32,14.32,14.411,14.491
14.613,14.555,14.32,14.32,14.411
14.449,14.613,14.555,14.32,14.32
14.41,14.449,14.613,14.555,14.32
14.445,14.41,14.449,14.613,14.555
14.388,14.445,14.41,14.449,14.613
14.539,14.388,14.445,14.41,14.449
14.812,14.539,14.388,14.445,14.41
14.812,14.812,14.539,14.388,14.445
14.777,14.812,14.812,14.539,14.388
14.79,14.777,14.812,14.812,14.539
14.773,14.79,14.777,14.812,14.812
14.862,14.773,14.79,14.777,14.812
14.926,14.862,14.773,14.79,14.777
14.927,14.926,14.862,14.773,14.79
14.978,14.927,14.926,14.862,14.773
14.617,14.978,14.927,14.926,14.862
14.729,14.617,14.978,14.927,14.926
14.984,14.729,14.617,14.978,14.927
14.933,14.984,14.729,14.617,14.978
15.088,14.933,14.984,14.729,14.617
14.879,15.088,14.933,14.984,14.729
14.916,14.879,15.088,14.933,14.984
14.791,14.916,14.879,15.088,14.933
14.975,14.791,14.916,14.879,15.088
14.955,14.975,14.791,14.916,14.879
14.939,14.955,14.975,14.791,14.916
14.915,14.939,14.955,14.975,14.791
14.975,14.915,14.939,14.955,14.975
14.963,14.975,14.915,14.939,14.955
14.867,14.963,14.975,14.915,14.939
15.244,14.867,14.963,14.975,14.915
15.211,15.244,14.867,14.963,14.975
15.216,15.211,15.244,14.867,14.963
15.086,15.216,15.211,15.244,14.867
15.084,15.086,15.216,15.211,15.244
15.102,15.084,15.086,15.216,15.211
15.061,15.102,15.084,15.086,15.216
15.099,15.061,15.102,15.084,15.086
15.11,15.099,15.061,15.102,15.084
14.973,15.11,15.099,15.061,15.102
15.298,14.973,15.11,15.099,15.061
15.429,15.298,14.973,15.11,15.099
15.567,15.429,15.298,14.973,15.11
15.407,15.567,15.429,15.298,14.973
15.437,15.407,15.567,15.429,15.298
15.318,15.437,15.407,15.567,15.429
15.372,15.318,15.437,15.407,15.567
15.322,15.372,15.318,15.437,15.407
15.324,15.322,15.372,15.318,15.437
15.171,15.324,15.322,15.372,15.318
15.456,15.171,15.324,15.322,15.372
15.413,15.456,15.171,15.324,15.322
15.274,15.413,15.456,15.171,15.324
15.349,15.274,15.413,15.456,15.171
15.04,15.349,15.274,15.413,15.456
15.085,15.04,15.349,15.274,15.413
15.105,15.085,15.04,15.349,15.274
15.105,15.105,15.085,15.04,15.349
15.256,15.105,15.105,15.085,15.04
15.634,15.256,15.105,15.105,15.085
15.766,15.634,15.256,15.105,15.105
15.832,15.766,15.634,15.256,15.105
15.83,15.832,15.766,15.634,15.256
15.914,15.83,15.832,15.766,15.634
15.801,15.914,15.83,15.832,15.766
16.177,15.801,15.914,15.83,15.832
16.013,16.177,15.801,15.914,15.83
15.967,16.013,16.177,15.801,15.914
15.743,15.967,16.013,16.177,15.801
15.528,15.743,15.967,16.013,16.177
15.652,15.528,15.743,15.967,16.013
15.69,15.652,15.528,15.743,15.967
15.74,15.69,15.652,15.528,15.743
15.809,15.74,15.69,15.652,15.528
15.713,15.809,15.74,15.69,15.652
15.701,15.713,15.809,15.74,15.69
15.836,15.701,15.713,15.809,15.74
15.886,15.836,15.701,15.713,15.809
15.931,15.886,15.836,15.701,15.713
16.072,15.931,15.886,15.836,15.701
15.927,16.072,15.931,15.886,15.836
15.839,15.927,16.072,15.931,15.886
15.765,15.839,15.927,16.072,15.931
15.699,15.765,15.839,15.927,16.072
15.3,15.699,15.765,15.839,15.927
15.38,15.3,15.699,15.765,15.839
15.325,15.38,15.3,15.699,15.765
15.325,15.325,15.38,15.3,15.699
15.399,15.325,15.325,15.38,15.3
15.536,15.399,15.325,15.325,15.38
15.638,15.536,15.399,15.325,15.325
15.62,15.638,15.536,15.399,15.325
15.686,15.62,15.638,15.536,15.399
15.656,15.686,15.62,15.638,15.536
15.643,15.656,15.686,15.62,15.638
15.735,15.643,15.656,15.686,15.62
15.713,15.735,15.643,15.656,15.686
15.756,15.713,15.735,15.643,15.656
15.786,15.756,15.713,15.735,15.643
15.797,15.786,15.756,15.713,15.735
15.649,15.797,15.786,15.756,15.713
15.54,15.649,15.797,15.786,15.756
15.436,15.54,15.649,15.797,15.786
15.31,15.436,15.54,15.649,15.797
15.123,15.31,15.436,15.54,15.649
14.82,15.123,15.31,15.436,15.54
14.702,14.82,15.123,15.31,15.436
14.869,14.702,14.82,15.123,15.31
14.818,14.869,14.702,14.82,15.123
14.701,14.818,14.869,14.702,14.82
14.759,14.701,14.818,14.869,14.702
14.637,14.759,14.701,14.818,14.869
14.855,14.637,14.759,14.701,14.818
14.851,14.855,14.637,14.759,14.701
14.628,14.851,14.855,14.637,14.759
14.605,14.628,14.851,14.855,14.637
14.696,14.605,14.628,14.851,14.855
14.509,14.696,14.605,14.628,14.851
14.582,14.509,14.696,14.605,14.628
14.64,14.582,14.509,14.696,14.605
14.499,14.64,14.582,14.509,14.696
14.217,14.499,14.64,14.582,14.509
14.402,14.217,14.499,14.64,14.582
14.325,14.402,14.217,14.499,14.64
14.084,14.325,14.402,14.217,14.499
14.205,14.084,14.325,14.402,14.217
14.287,14.205,14.084,14.325,14.402
14.243,14.287,14.205,14.084,14.325
14.502,14.243,14.287,14.205,14.084
14.269,14.502,14.243,14.287,14.205
14.403,14.269,14.502,14.243,14.287
14.382,14.403,14.269,14.502,14.243
14.263,14.382,14.403,14.269,14.502
14.08,14.263,14.382,14.403,14.269
13.977,14.08,14.263,14.382,14.403
14.011,13.977,14.08,14.263,14.382
14.14,14.011,13.977,14.08,14.263
14.423,14.14,14.011,13.977,14.08
14.569,14.423,14.14,14.011,13.977
14.5,14.569,14.423,14.14,14.011
14.647,14.5,14.569,14.423,14.14
14.756,14.647,14.5,14.569,14.423
14.777,14.756,14.647,14.5,14.569
14.282,14.777,14.756,14.647,14.5
14.462,14.282,14.777,14.756,14.647
14.442,14.462,14.282,14.777,14.756
14.7,14.442,14.462,14.282,14.777
14.63,14.7,14.442,14.462,14.282
14.676,14.63,14.7,14.442,14.462
14.793,14.676,14.63,14.7,14.442
14.587,14.793,14.676,14.63,14.7
14.65,14.587,14.793,14.676,14.63
14.604,14.65,14.587,14.793,14.676
14.663,14.604,14.65,14.587,14.793
14.701,14.663,14.604,14.65,14.587
14.727,14.701,14.663,14.604,14.65
14.635,14.727,14.701,14.663,14.604
14.606,14.635,14.727,14.701,14.663
14.326,14.606,14.635,14.727,14.701
14.4,14.326,14.606,14.635,14.727
14.329,14.4,14.326,14.606,14.635
14.649,14.329,14.4,14.326,14.606
14.59,14.649,14.329,14.4,14.326
14.67,14.59,14.649,14.329,14.4
14.693,14.67,14.59,14.649,14.329
14.507,14.693,14.67,14.59,14.649
14.712,14.507,14.693,14.67,14.59
14.29,14.712,14.507,14.693,14.67
14.401,14.29,14.712,14.507,14.693
14.493,14.401,14.29,14.712,14.507
14.341,14.493,14.401,14.29,14.712
14.359,14.341,14.493,14.401,14.29
14.305,14.359,14.341,14.493,14.401
14.28,14.305,14.359,14.341,14.493
14.185,14.28,14.305,14.359,14.341
14.223,14.185,14.28,14.305,14.359
14.142,14.223,14.185,14.28,14.305
14.244,14.142,14.223,14.185,14.28
14.293,14.244,14.142,14.223,14.185
14.153,14.293,14.244,14.142,14.223
14.181,14.153,14.293,14.244,14.142
14.17,14.181,14.153,14.293,14.244
14.181,14.17,14.181,14.153,14.293
14.22,14.181,14.17,14.181,14.153
14.145,14.22,14.181,14.17,14.181
14.18,14.145,14.22,14.181,14.17
14.557,14.18,14.145,14.22,14.181
14.594,14.557,14.18,14.145,14.22
14.697,14.594,14.557,14.18,14.145
14.774,14.697,14.594,14.557,14.18
14.859,14.774,14.697,14.594,14.557
14.794,14.859,14.774,14.697,14.594
14.542,14.794,14.859,14.774,14.697
14.75,14.542,14.794,14.859,14.774
14.766,14.75,14.542,14.794,14.859
14.67,14.766,14.75,14.542,14.794
14.631,14.67,14.766,14.75,14.542
14.713,14.631,14.67,14.766,14.75
14.454,14.713,14.631,14.67,14.766
15.053,14.454,14.713,14.631,14.67
14.982,15.053,14.454,14.713,14.631
15.295,14.982,15.053,14.454,14.713
15.462,15.295,14.982,15.053,14.454
15.432,15.462,15.295,14.982,15.053
15.373,15.432,15.462,15.295,14.982
15.348,15.373,15.432,15.462,15.295
15.462,15.348,15.373,15.432,15.462
15.385,15.462,15.348,15.373,15.432
15.452,15.385,15.462,15.348,15.373
15.559,15.452,15.385,15.462,15.348
15.537,15.559,15.452,15.385,15.462
15.493,15.537,15.559,15.452,15.385
15.495,15.493,15.537,15.559,15.452
15.589,15.495,15.493,15.537,15.559
15.52,15.589,15.495,15.493,15.537
15.425,15.52,15.589,15.495,15.493
15.549,15.425,15.52,15.589,15.495
15.402,15.549,15.425,15.52,15.589
15.574,15.402,15.549,15.425,15.52
15.617,15.574,15.402,15.549,15.425
15.812,15.617,15.574,15.402,15.549
15.815,15.812,15.617,15.574,15.402
15.977,15.815,15.812,15.617,15.574
15.817,15.977,15.815,15.812,15.617
16.087,15.817,15.977,15.815,15.812
16.139,16.087,15.817,15.977,15.815
16.069,16.139,16.087,15.817,15.977
16.097,16.069,16.139,16.087,15.817
16.097,16.097,16.069,16.139,16.087
16.043,16.097,16.097,16.069,16.139
15.835,16.043,16.097,16.097,16.069
16.198,15.835,16.043,16.097,16.097
16.041,16.198,15.835,16.043,16.097
16.151,16.041,16.198,15.835,16.043
16.25,16.151,16.041,16.198,15.835
16.328,16.25,16.151,16.041,16.198
16.459,16.328,16.25,16.151,16.041
16.326,16.459,16.328,16.25,16.151
16.309,16.326,16.459,16.328,16.25
16.323,16.309,16.326,16.459,16.328
16.44,16.323,16.309,16.326,16.459
16.48,16.44,16.323,16.309,16.326
17.262,16.48,16.44,16.323,16.309
16.991,17.262,16.48,16.44,16.323
16.891,16.991,17.262,16.48,16.44
16.952,16.891,16.991,17.262,16.48
16.741,16.952,16.891,16.991,17.262
16.815,16.741,16.952,16.891,16.991
16.694,16.815,16.741,16.952,16.891
16.543,16.694,16.815,16.741,16.952
16.431,16.543,16.694,16.815,16.741
16.441,16.431,16.543,16.694,16.815
16.458,16.441,16.431,16.543,16.694
